Fecha,Demanda Comercial,ONI
2/1/2025,212.51,-0.6
2/2/2025,212.51,-0.6
2/3/2025,231.38,-0.6
2/4/2025,231.38,-0.6
2/5/2025,231.38,-0.6
2/6/2025,231.38,-0.6
2/7/2025,231.38,-0.6
2/8/2025,212.51,-0.6
2/9/2025,212.51,-0.6
2/10/2025,231.38,-0.6
2/11/2025,231.38,-0.6
2/12/2025,231.38,-0.6
2/13/2025,231.38,-0.6
2/14/2025,231.38,-0.6
2/15/2025,212.51,-0.6
2/16/2025,212.51,-0.6
2/17/2025,231.38,-0.6
2/18/2025,231.38,-0.6
2/19/2025,231.38,-0.6
2/20/2025,231.38,-0.6
2/21/2025,231.38,-0.6
2/22/2025,212.51,-0.6
2/23/2025,212.51,-0.6
2/24/2025,231.38,-0.6
2/25/2025,231.38,-0.6
2/26/2025,231.38,-0.6
2/27/2025,231.38,-0.6
2/28/2025,231.38,-0.6
3/1/2025,221.63,-0.7
3/2/2025,221.63,-0.7
3/3/2025,241.87,-0.7
3/4/2025,241.87,-0.7
3/5/2025,241.87,-0.7
3/6/2025,241.87,-0.7
3/7/2025,241.87,-0.7
3/8/2025,221.63,-0.7
3/9/2025,221.63,-0.7
3/10/2025,241.87,-0.7
3/11/2025,241.87,-0.7
3/12/2025,241.87,-0.7
3/13/2025,241.87,-0.7
3/14/2025,241.87,-0.7
3/15/2025,221.63,-0.7
3/16/2025,221.63,-0.7
3/17/2025,241.87,-0.7
3/18/2025,241.87,-0.7
3/19/2025,241.87,-0.7
3/20/2025,241.87,-0.7
3/21/2025,241.87,-0.7
3/22/2025,221.63,-0.7
3/23/2025,221.63,-0.7
3/24/2025,208.88,-0.7
3/25/2025,241.87,-0.7
3/26/2025,241.87,-0.7
3/27/2025,241.87,-0.7
3/28/2025,241.87,-0.7
3/29/2025,221.63,-0.7
3/30/2025,221.63,-0.7
3/31/2025,241.87,-0.7
4/1/2025,233.10,-0.6
4/2/2025,233.10,-0.6
4/3/2025,233.10,-0.6
4/4/2025,233.10,-0.6
4/5/2025,214.10,-0.6
4/6/2025,214.10,-0.6
4/7/2025,233.10,-0.6
4/8/2025,233.10,-0.6
4/9/2025,233.10,-0.6
4/10/2025,233.10,-0.6
4/11/2025,233.10,-0.6
4/12/2025,214.10,-0.6
4/13/2025,,-0.6
4/14/2025,233.10,-0.6
4/15/2025,233.10,-0.6
4/16/2025,233.10,-0.6
4/17/2025,,-0.6
4/18/2025,,-0.6
4/19/2025,214.10,-0.6
4/20/2025,,-0.6
4/21/2025,233.10,-0.6
4/22/2025,233.10,-0.6
4/23/2025,233.10,-0.6
4/24/2025,233.10,-0.6
4/25/2025,233.10,-0.6
4/26/2025,214.10,-0.6
4/27/2025,214.10,-0.6
4/28/2025,233.10,-0.6
4/29/2025,233.10,-0.6
4/30/2025,233.10,-0.6
5/1/2025,212.24,-0.5
5/2/2025,230.59,-0.5
5/3/2025,212.95,-0.5
5/4/2025,212.95,-0.5
5/5/2025,230.59,-0.5
5/6/2025,230.59,-0.5
5/7/2025,230.59,-0.5
5/8/2025,230.59,-0.5
5/9/2025,230.59,-0.5
5/10/2025,212.95,-0.5
5/11/2025,212.95,-0.5
5/12/2025,230.59,-0.5
5/13/2025,230.59,-0.5
5/14/2025,230.59,-0.5
5/15/2025,230.59,-0.5
5/16/2025,230.59,-0.5
5/17/2025,212.95,-0.5
5/18/2025,212.95,-0.5
5/19/2025,230.59,-0.5
5/20/2025,230.59,-0.5
5/21/2025,230.59,-0.5
5/22/2025,230.59,-0.5
5/23/2025,230.59,-0.5
5/24/2025,212.95,-0.5
5/25/2025,212.95,-0.5
5/26/2025,230.59,-0.5
5/27/2025,230.59,-0.5
5/28/2025,230.59,-0.5
5/29/2025,230.59,-0.5
5/30/2025,230.59,-0.5
5/31/2025,212.95,-0.5
6/1/2025,208.02,-0.4
6/2/2025,204.19,-0.4
6/3/2025,225.96,-0.4
6/4/2025,225.96,-0.4
6/5/2025,225.96,-0.4
6/6/2025,225.96,-0.4
6/7/2025,208.02,-0.4
6/8/2025,208.02,-0.4
6/9/2025,225.96,-0.4
6/10/2025,225.96,-0.4
6/11/2025,225.96,-0.4
6/12/2025,225.96,-0.4
6/13/2025,225.96,-0.4
6/14/2025,208.02,-0.4
6/15/2025,208.02,-0.4
6/16/2025,225.96,-0.4
6/17/2025,225.96,-0.4
6/18/2025,225.96,-0.4
6/19/2025,225.96,-0.4
6/20/2025,225.96,-0.4
6/21/2025,208.02,-0.4
6/22/2025,208.02,-0.4
