Fecha,apor_antioquia,apor_centro,apor_oriente,apor_valle,rese_antioquia,rese_centro,rese_oriente,rese_valle,gx_acpm,gx_agua,gx_bagazo,gx_carbon,gx_gas,gx_gas_ni,gx_solar,gx_viento,Demanda Comercial,ONI,Precio Bolsa Nacional
1/1/2000,35.7617,6.2512,5.4262,6.3744,"5,647.0256","1,970.70","3,532.14",399.0104,,61.103,,2.912,22.57,,,,88.131,-1.7,32.8681
1/2/2000,36.0985,4.0392,4.1224,7.4959,"5,641.6776","1,967.32","3,518.67",401.3613,,62.459,,2.877,22.104,,,,89.026,-1.7,33.0348
1/3/2000,33.2402,3.5806,9.7516,7.9185,"5,632.4433","1,958.18","3,503.31",399.9738,,75.836,0.198,4.026,24.475,,,,106.152,-1.7,37.2723
1/4/2000,34.3978,8.9414,5.3380,6.6894,"5,622.6361","1,959.15","3,482.25",396.4849,,78.845,0.295,3.704,24.988,,,,109.49,-1.7,41.689
1/5/2000,35.6161,7.1822,11.0443,6.0271,"5,611.6296","1,956.07","3,469.53",393.3274,,79.996,0.328,2.992,24.375,,,,109.34,-1.7,40.8931
1/6/2000,36.7788,6.0648,6.4728,7.3592,"5,598.5998","1,955.36","3,455.31",393.9931,,81.326,0.33,2.879,24.163,,,,110.505,-1.7,36.8265
1/7/2000,37.2198,4.2157,10.2374,8.9448,"5,591.3891","1,951.29","3,436.61",400.7573,,81.285,0.32,2.891,24.448,,,,110.658,-1.7,38.4931
1/8/2000,40.2721,9.7523,11.8509,9.0738,"5,591.9169","1,951.61","3,434.29",403.7174,,75.717,0.333,2.942,23.304,,,,104.144,-1.7,32.2848
1/9/2000,38.2300,10.6673,17.5390,9.8358,"5,596.1093","1,954.88","3,422.24",409.1803,,63.321,0.326,4.311,20.825,,,,91.387,-1.7,32.2848
1/10/2000,33.4835,7.0251,17.0951,8.5319,"5,596.3613","1,955.12","3,420.36",411.1588,,64.55,0.313,4.253,22.149,,,,93.218,-1.7,32.2848
1/11/2000,35.8210,22.3442,13.3533,7.8958,"5,593.3967","1,964.94","3,409.68",410.1522,,79.366,0.311,4.572,24.019,,,,110.447,-1.7,33.9931
1/12/2000,32.3393,6.7142,8.6659,8.4547,"5,586.9617","1,952.87","3,394.80",411.6734,,79.982,0.303,6.52,24.563,,,,113.424,-1.7,35.9056
1/13/2000,29.2124,14.8843,8.2388,6.9601,"5,576.5344","1,956.18","3,376.94",410.5356,,82.721,0.282,4.485,23.833,,,,113.593,-1.7,35.8431
1/14/2000,31.6411,6.2250,5.9665,6.5197,"5,564.0772","1,952.87","3,358.76",408.7049,,83.196,0.308,4.697,24.274,,,,114.179,-1.7,36.6681
