Fecha,Real,LSTM (Inicial),GRU (Inicial)
2025-01-01,267.9271,171.82822,288.54047
2025-01-02,296.6014,171.82822,293.67142
2025-01-03,377.3894,171.82822,275.62228
2025-01-04,443.5493,171.82822,297.82388
2025-01-05,547.2532,171.82822,283.01242
2025-01-06,596.2319,171.82822,299.05795
2025-01-07,685.7283,171.82822,338.04993
2025-01-08,665.626,171.82822,348.26605
2025-01-09,638.1773,171.82822,333.47177
2025-01-10,651.4042,171.82822,318.83865
2025-01-11,676.7806,171.82822,335.14273
2025-01-12,701.4657,171.82822,316.1221
2025-01-13,737.2064,171.82822,338.94522
2025-01-14,679.7405,171.82822,374.775
2025-01-15,720.5593,171.82822,376.61154
2025-01-16,755.3286,171.82822,367.99036
2025-01-17,726.3682,171.82822,340.9562
2025-01-18,730.2936,171.82822,363.76505
2025-01-19,756.3833,171.82822,331.1628
2025-01-20,698.2057,171.82822,336.7313
2025-01-21,634.8605,171.82822,358.08823
